,Date,Symbol,Open,Close,Low,High,Volume
284,2010-01-04,AMZN,136.25,133.899994,133.139999,136.610001,7599900
751,2010-01-05,AMZN,133.429993,134.690002,131.809998,135.479996,8851900
1219,2010-01-06,AMZN,134.600006,132.25,131.649994,134.729996,7178800
1687,2010-01-07,AMZN,132.009995,130.0,128.800003,132.320007,11030200
2155,2010-01-08,AMZN,130.559998,133.520004,129.029999,133.679993,9830500
2623,2010-01-11,AMZN,132.619995,130.309998,129.210007,132.800003,8779400
3091,2010-01-12,AMZN,128.990005,127.349998,126.550003,129.820007,9096300
3559,2010-01-13,AMZN,127.900002,129.110001,125.75,129.710007,10723200
4027,2010-01-14,AMZN,129.139999,127.349998,126.400002,130.380005,9774900
4495,2010-01-15,AMZN,129.179993,127.139999,127.059998,129.649994,15376500
4963,2010-01-19,AMZN,126.309998,127.610001,124.330002,128.0,8892600
5431,2010-01-20,AMZN,127.129997,125.779999,125.080002,129.199997,9074700
5899,2010-01-21,AMZN,127.260002,126.620003,125.0,128.149994,9970600
6367,2010-01-22,AMZN,125.599998,121.43,120.760002,127.669998,11568900
6835,2010-01-25,AMZN,122.099998,120.309998,118.120003,122.279999,12023900
7303,2010-01-26,AMZN,120.559998,119.480003,119.059998,122.980003,9559000
7771,2010-01-27,AMZN,121.029999,122.75,118.800003,123.330002,14765300
8239,2010-01-28,AMZN,124.43,126.029999,122.800003,127.199997,27293100
8707,2010-01-29,AMZN,129.770004,125.410004,124.139999,131.850006,29471300
9175,2010-02-01,AMZN,123.18,118.870003,113.82,124.860001,37774400
9643,2010-02-02,AMZN,118.790001,118.120003,114.400002,118.980003,23079700
10111,2010-02-03,AMZN,117.120003,119.099998,116.559998,119.610001,12405900
10579,2010-02-04,AMZN,118.639999,115.940002,115.739998,120.330002,12784000
11047,2010-02-05,AMZN,115.879997,117.389999,114.099998,117.650002,11024800
11515,2010-02-08,AMZN,119.379997,116.830002,116.559998,121.0,9890200
11983,2010-02-09,AMZN,118.199997,118.029999,117.0,119.089996,9223000
12451,2010-02-10,AMZN,118.0,117.360001,116.0,118.610001,6233200
12919,2010-02-11,AMZN,117.209999,120.089996,116.5,120.419998,8343500
13387,2010-02-12,AMZN,118.989998,119.660004,117.5,119.940002,8073500
13855,2010-02-16,AMZN,120.059998,117.529999,117.18,120.5,8932700
14323,2010-02-17,AMZN,117.07,116.309998,115.550003,117.129997,8944800
14791,2010-02-18,AMZN,115.839996,118.080002,114.82,118.510002,9800100
15259,2010-02-19,AMZN,117.910004,117.519997,117.0,119.089996,7115600
15727,2010-02-22,AMZN,117.370003,118.010002,116.18,118.970001,6807300
16195,2010-02-23,AMZN,118.010002,117.239998,116.510002,119.25,7068200
16663,2010-02-24,AMZN,117.959999,119.720001,117.150002,119.800003,7389900
17131,2010-02-25,AMZN,118.169998,118.199997,115.849998,118.339996,9533400
17599,2010-02-26,AMZN,117.879997,118.400002,117.0,119.43,5721600
18067,2010-03-01,AMZN,118.699997,124.540001,117.529999,124.660004,13296500
18535,2010-03-02,AMZN,125.010002,125.529999,124.800003,127.349998,12097500
19003,2010-03-03,AMZN,125.400002,125.889999,124.43,126.940002,6440400
19471,2010-03-04,AMZN,125.980003,128.529999,125.57,128.850006,7509700
19939,2010-03-05,AMZN,129.130005,128.910004,127.07,129.449997,6769300
20407,2010-03-08,AMZN,128.300003,130.110001,127.709999,130.850006,5605900
20875,2010-03-09,AMZN,129.589996,128.820007,127.970001,130.809998,6070800
21343,2010-03-10,AMZN,129.110001,130.509995,128.479996,131.169998,5625700
21811,2010-03-11,AMZN,130.449997,133.580002,130.360001,133.619995,7240800
22279,2010-03-12,AMZN,134.199997,131.820007,131.179993,134.199997,6150800
22747,2010-03-15,AMZN,131.699997,131.130005,128.630005,132.0,6329200
23215,2010-03-16,AMZN,131.240005,131.789993,130.5,132.289993,4132500
23683,2010-03-17,AMZN,132.410004,131.339996,131.220001,132.690002,4358800
24151,2010-03-18,AMZN,131.020004,132.759995,130.440002,132.850006,5021300
24619,2010-03-19,AMZN,133.710007,130.350006,129.660004,133.710007,8905000
25087,2010-03-22,AMZN,130.199997,130.470001,128.639999,130.960007,5383400
25555,2010-03-23,AMZN,130.889999,129.259995,128.070007,130.940002,4213100
26023,2010-03-24,AMZN,128.639999,128.039993,127.199997,129.399994,4696400
26491,2010-03-25,AMZN,129.139999,134.729996,128.039993,136.910004,16209600
26959,2010-03-26,AMZN,134.899994,135.059998,133.759995,136.990005,6565700
27427,2010-03-29,AMZN,135.369995,135.119995,134.330002,136.630005,4626900
27895,2010-03-30,AMZN,135.740005,136.580002,135.360001,138.190002,6192700
28363,2010-03-31,AMZN,136.0,135.770004,134.479996,136.800003,4600600
28831,2010-04-01,AMZN,135.800003,131.809998,131.179993,136.509995,8785800
29299,2010-04-05,AMZN,132.850006,131.490005,130.779999,133.740005,5816500
29767,2010-04-06,AMZN,131.229996,135.559998,131.179993,136.0,7950300
30235,2010-04-07,AMZN,135.960007,134.869995,133.860001,136.080002,5945400
30703,2010-04-08,AMZN,134.710007,140.960007,134.710007,141.25,12689100
31171,2010-04-09,AMZN,140.720001,140.059998,139.070007,141.330002,6011100
31639,2010-04-12,AMZN,140.0,141.199997,139.679993,142.910004,5445300
32107,2010-04-13,AMZN,141.229996,140.160004,139.119995,141.979996,4785500
32575,2010-04-14,AMZN,140.339996,144.279999,139.199997,144.5,7900300
33043,2010-04-15,AMZN,144.550003,145.820007,144.0,147.089996,7829600
33511,2010-04-16,AMZN,144.880005,142.169998,141.449997,147.169998,8396800
33979,2010-04-19,AMZN,142.350006,142.429993,139.130005,143.669998,6022000
34447,2010-04-20,AMZN,143.830002,144.199997,142.100006,144.639999,4311700
34915,2010-04-21,AMZN,145.169998,146.429993,143.520004,149.0,7374400
35383,2010-04-22,AMZN,147.009995,150.089996,145.880005,151.089996,15165800
35851,2010-04-23,AMZN,145.380005,143.630005,142.419998,149.089996,18975200
36319,2010-04-26,AMZN,143.199997,147.110001,142.899994,147.729996,9318300
36787,2010-04-27,AMZN,145.550003,142.020004,141.110001,146.440002,8639000
37255,2010-04-28,AMZN,142.589996,139.350006,138.690002,142.75,9235300
37724,2010-04-29,AMZN,140.089996,141.729996,139.789993,142.449997,6314200
38193,2010-04-30,AMZN,141.399994,137.100006,136.910004,141.399994,6113500
38662,2010-05-03,AMZN,137.199997,137.490005,136.110001,139.440002,5654600
39131,2010-05-04,AMZN,135.619995,129.830002,128.380005,135.809998,12667800
39600,2010-05-05,AMZN,128.0,130.929993,127.550003,131.610001,9458100
40069,2010-05-06,AMZN,130.0,128.710007,120.599998,132.330002,10189000
40538,2010-05-07,AMZN,127.970001,124.980003,123.760002,131.179993,11927600
41007,2010-05-10,AMZN,129.729996,131.289993,129.259995,132.210007,6806100
41476,2010-05-11,AMZN,129.949997,130.460007,128.470001,133.080002,6044100
41945,2010-05-12,AMZN,131.410004,133.869995,129.679993,134.130005,5904500
42414,2010-05-13,AMZN,133.929993,131.470001,131.0,136.990005,5940200
42883,2010-05-14,AMZN,130.360001,128.529999,126.760002,131.0,5277800
43352,2010-05-17,AMZN,128.240005,128.910004,125.800003,129.949997,5642200
43821,2010-05-18,AMZN,130.139999,126.279999,125.510002,131.25,5256900
44290,2010-05-19,AMZN,125.510002,124.589996,123.800003,127.93,6463300
44759,2010-05-20,AMZN,122.639999,119.709999,118.779999,125.0,8594400
45228,2010-05-21,AMZN,117.900002,122.720001,117.519997,124.970001,7966900
45697,2010-05-24,AMZN,122.57,122.120003,120.650002,124.5,4535900
46166,2010-05-25,AMZN,118.540001,124.860001,118.5,125.190002,6913400
46635,2010-05-26,AMZN,125.050003,123.209999,122.300003,125.790001,6964600
47104,2010-05-27,AMZN,124.980003,126.699997,120.599998,126.849998,4747700
47573,2010-05-28,AMZN,126.07,125.459999,124.010002,127.599998,3954800
48042,2010-06-01,AMZN,124.970001,123.239998,123.019997,126.57,3659500
48511,2010-06-02,AMZN,124.019997,126.309998,121.650002,126.43,4764700
48980,2010-06-03,AMZN,126.25,128.759995,124.849998,129.149994,5276900
49449,2010-06-04,AMZN,126.330002,122.769997,122.18,128.199997,5497700
49918,2010-06-07,AMZN,125.839996,122.010002,121.669998,126.610001,6566400
50387,2010-06-08,AMZN,122.0,118.839996,115.800003,122.0,11484400
50856,2010-06-09,AMZN,120.309998,117.910004,117.360001,121.470001,7369200
51325,2010-06-10,AMZN,120.0,123.209999,119.199997,123.5,6061800
51794,2010-06-11,AMZN,121.389999,123.029999,120.290001,123.529999,4204600
52263,2010-06-14,AMZN,124.239998,123.830002,123.5,125.699997,3923000
52732,2010-06-15,AMZN,123.199997,126.839996,122.5,126.919998,4541000
53201,2010-06-16,AMZN,125.389999,126.900002,125.360001,127.980003,3964300
53670,2010-06-17,AMZN,126.739998,125.889999,124.690002,127.800003,3479000
54139,2010-06-18,AMZN,126.480003,125.830002,125.07,127.480003,3836000
54608,2010-06-21,AMZN,126.790001,122.550003,121.410004,127.480003,5327700
55077,2010-06-22,AMZN,122.650002,122.309998,121.550003,125.230003,6207200
55546,2010-06-23,AMZN,122.110001,121.449997,120.040001,123.220001,5455100
56015,2010-06-24,AMZN,120.610001,118.330002,116.800003,120.849998,7771100
56484,2010-06-25,AMZN,118.139999,121.0,117.629997,121.760002,5769700
56953,2010-06-28,AMZN,118.849998,117.800003,117.099998,120.040001,5612200
57422,2010-06-29,AMZN,116.260002,108.610001,106.010002,116.480003,12866300
57891,2010-06-30,AMZN,108.580002,109.260002,108.110001,112.68,9740700
58360,2010-07-01,AMZN,108.900002,110.959999,106.699997,111.690002,8529800
58829,2010-07-02,AMZN,110.919998,109.139999,108.559998,111.290001,4477100
59298,2010-07-06,AMZN,110.650002,110.059998,109.0,112.529999,5219300
59767,2010-07-07,AMZN,109.839996,113.43,109.809998,113.629997,4941000
60236,2010-07-08,AMZN,115.019997,116.220001,114.07,117.480003,6775000
60705,2010-07-09,AMZN,116.550003,117.260002,114.650002,117.400002,4065100
61174,2010-07-12,AMZN,117.809998,119.510002,117.32,119.699997,4783600
61643,2010-07-13,AMZN,120.690002,123.650002,120.300003,124.879997,7091100
62112,2010-07-14,AMZN,123.029999,123.300003,121.470001,123.75,5257000
62581,2010-07-15,AMZN,120.129997,122.059998,119.260002,122.480003,6047700
63050,2010-07-16,AMZN,121.279999,118.489998,118.010002,121.919998,6227900
63519,2010-07-19,AMZN,118.379997,119.940002,117.0,120.739998,5030900
63988,2010-07-20,AMZN,120.610001,120.099998,117.510002,120.709999,6785000
64457,2010-07-21,AMZN,120.620003,117.43,117.260002,121.25,5011700
64926,2010-07-22,AMZN,118.709999,120.07,118.019997,120.870003,15003400
65395,2010-07-23,AMZN,105.93,118.870003,105.800003,119.279999,42421100
65864,2010-07-26,AMZN,118.260002,118.400002,114.879997,118.599998,11137800
66333,2010-07-27,AMZN,118.43,117.129997,115.07,118.5,7796100
66802,2010-07-28,AMZN,117.0,117.129997,116.400002,118.199997,5472300
67271,2010-07-29,AMZN,117.989998,116.860001,115.519997,118.870003,6175800
67740,2010-07-30,AMZN,115.529999,117.889999,114.510002,118.739998,7077500
68209,2010-08-02,AMZN,119.150002,120.07,117.57,120.379997,5443700
68678,2010-08-03,AMZN,120.0,122.419998,119.68,122.870003,5953800
69147,2010-08-04,AMZN,123.059998,127.580002,123.0,128.470001,9270800
69616,2010-08-05,AMZN,126.769997,127.830002,125.82,128.0,4282300
70085,2010-08-06,AMZN,126.720001,128.320007,125.900002,128.399994,5065200
70554,2010-08-09,AMZN,128.460007,128.830002,127.849998,129.929993,5085800
71023,2010-08-10,AMZN,127.949997,130.0,127.379997,130.0,5706900
71492,2010-08-11,AMZN,128.100006,125.889999,125.199997,128.119995,5541700
71961,2010-08-12,AMZN,123.760002,126.559998,123.550003,127.0,4367900
72430,2010-08-13,AMZN,126.059998,124.690002,124.260002,127.480003,3976600
72899,2010-08-16,AMZN,123.610001,126.07,123.040001,127.370003,4024700
73368,2010-08-17,AMZN,127.339996,128.860001,126.790001,129.979996,5044700
73837,2010-08-18,AMZN,129.25,129.649994,128.259995,130.809998,7901500
74306,2010-08-19,AMZN,129.220001,127.57,126.82,130.020004,5582500
74775,2010-08-20,AMZN,127.199997,127.760002,126.019997,128.039993,4170100
75244,2010-08-23,AMZN,127.860001,126.599998,126.5,129.220001,3861300
75713,2010-08-24,AMZN,125.410004,124.529999,123.18,125.440002,5369700
76182,2010-08-25,AMZN,123.849998,126.849998,123.830002,127.370003,5344500
76651,2010-08-26,AMZN,127.150002,124.860001,124.82,127.589996,4694500
77120,2010-08-27,AMZN,125.459999,126.639999,122.25,126.639999,5080000
77589,2010-08-30,AMZN,126.029999,123.790001,123.690002,126.949997,3426000
78058,2010-08-31,AMZN,122.849998,124.830002,122.5,125.900002,4225600
78527,2010-09-01,AMZN,126.360001,132.490005,126.169998,132.600006,7138300
78996,2010-09-02,AMZN,132.169998,135.210007,132.050003,135.210007,5407400
79465,2010-09-03,AMZN,136.889999,138.789993,136.630005,139.5,6581200
79934,2010-09-07,AMZN,137.559998,137.220001,136.889999,138.600006,3883000
