,Date,Symbol,Open,Close,Low,High,Volume
440,2010-01-04,GOOGL,626.950006,626.750011,624.240011,629.510005,3908400
908,2010-01-05,GOOGL,627.180001,623.990017,621.540016,627.839984,6003300
1376,2010-01-06,GOOGL,625.860033,608.260035,606.360021,625.860033,7949400
1844,2010-01-07,GOOGL,609.400008,594.100015,592.64999,609.999993,12815700
2312,2010-01-08,GOOGL,592.000005,602.020005,589.110015,603.250036,9439100
2780,2010-01-11,GOOGL,604.460006,601.110027,594.040017,604.460006,14411300
3248,2010-01-12,GOOGL,597.649989,590.479981,587.999981,598.160038,9696800
3716,2010-01-13,GOOGL,576.490018,587.090003,573.90002,588.380033,12980200
4184,2010-01-14,GOOGL,583.90002,589.849997,582.809986,594.200013,8471700
4652,2010-01-15,GOOGL,593.340034,579.999993,578.03998,593.560028,10858100
5120,2010-01-19,GOOGL,581.200025,587.61999,576.290023,590.419983,8624700
5588,2010-01-20,GOOGL,585.98003,580.409983,575.289986,585.98003,6494800
6056,2010-01-21,GOOGL,583.440031,582.979982,572.25,586.82001,12602700
6524,2010-01-22,GOOGL,564.500006,550.009993,534.859997,570.599979,13587100
6992,2010-01-25,GOOGL,546.590016,539.999994,535.509981,549.879997,8830900
7460,2010-01-26,GOOGL,537.969982,542.419996,536.290023,549.600003,8702200
7928,2010-01-27,GOOGL,541.270024,542.100004,535.309986,547.64999,7920800
8396,2010-01-28,GOOGL,544.490006,534.290011,530.599979,547.000006,6451700
8864,2010-01-29,GOOGL,538.490031,529.939995,525.609979,540.990031,8272700
9332,2010-02-01,GOOGL,534.600004,533.019981,530.299987,535.810035,4497000
9800,2010-02-02,GOOGL,534.959995,531.120028,527.609991,534.959995,8184200
10268,2010-02-03,GOOGL,528.670026,540.820035,528.230037,542.100004,5992200
10736,2010-02-04,GOOGL,537.000006,526.780011,525.55998,537.999982,6748600
11204,2010-02-05,GOOGL,528.400033,531.290023,522.459995,533.50003,6305600
11672,2010-02-08,GOOGL,532.499994,533.470031,531.530018,542.000006,5383200
12140,2010-02-09,GOOGL,539.540005,536.44002,535.069992,541.530017,5633500
12608,2010-02-10,GOOGL,534.070017,534.450007,527.689989,537.789987,5343600
13076,2010-02-11,GOOGL,533.320035,536.400021,529.500006,540.489982,4815100
13544,2010-02-12,GOOGL,532.969982,533.119979,530.499982,537.150002,4554800
14012,2010-02-16,GOOGL,536.870009,541.300023,534.300011,544.130015,7301400
14480,2010-02-17,GOOGL,542.000006,538.209976,537.609991,543.400033,4055300
14948,2010-02-18,GOOGL,537.539993,543.220037,536.140027,545.009993,4669100
15416,2010-02-19,GOOGL,540.529981,540.760036,539.700001,544.030017,5101000
15884,2010-02-22,GOOGL,547.349997,542.799986,541.00003,547.499994,4284900
16352,2010-02-23,GOOGL,542.999982,535.069992,532.289999,543.630027,5739400
16820,2010-02-24,GOOGL,533.980019,531.470019,530.509981,538.440032,4648500
17288,2010-02-25,GOOGL,527.120003,526.43002,519.999994,528.490031,6611700
17756,2010-02-26,GOOGL,527.419996,526.800011,523.480031,531.750012,4094500
18224,2010-03-01,GOOGL,529.200013,532.689989,527.739988,533.290036,4471300
18692,2010-03-02,GOOGL,535.479982,541.060029,535.009994,545.659978,8704800
19160,2010-03-03,GOOGL,542.359997,545.319986,539.250012,548.119979,6172600
19628,2010-03-04,GOOGL,546.500018,554.590004,546.200025,556.130027,6361200
20096,2010-03-05,GOOGL,561.350022,564.210013,559.899996,567.669989,7816500
20564,2010-03-08,GOOGL,564.779999,562.479994,561.01003,565.179989,4768000
21032,2010-03-09,GOOGL,559.849997,560.189989,556.500018,564.660002,6346800
21500,2010-03-10,GOOGL,563.760024,576.450019,562.210001,578.50003,11298400
21968,2010-03-11,GOOGL,574.260011,581.140026,574.200013,586.210025,8458100
22436,2010-03-12,GOOGL,588.139978,579.540005,579.160014,588.280035,5501200
22904,2010-03-15,GOOGL,566.680013,563.179977,556.00003,569.450007,9298400
23372,2010-03-16,GOOGL,561.83001,565.199989,560.760036,568.420032,6856100
23840,2010-03-17,GOOGL,568.300035,565.55998,564.250012,571.450019,6636500
24308,2010-03-18,GOOGL,564.72,566.40002,562.959982,568.440031,3550800
24776,2010-03-19,GOOGL,559.999994,559.999994,557.279999,567.999981,9578800
25244,2010-03-22,GOOGL,556.110027,557.499994,554.280011,566.850009,8001500
25712,2010-03-23,GOOGL,557.040005,549.000018,542.000006,558.310035,10991500
26180,2010-03-24,GOOGL,545.509981,557.329998,539.700001,559.849997,13117200
26648,2010-03-25,GOOGL,559.020017,562.879984,558.660026,572.000006,7853900
27116,2010-03-26,GOOGL,565.269987,562.689989,560.019993,567.389996,5387000
27584,2010-03-29,GOOGL,562.999981,562.449995,560.56998,564.72,6202700
28052,2010-03-30,GOOGL,562.829985,566.710013,560.279987,567.62999,3951800
28520,2010-03-31,GOOGL,565.049992,567.120003,562.809986,569.74,6055500
28988,2010-04-01,GOOGL,571.350021,568.800023,565.54998,573.450031,4201100
29456,2010-04-05,GOOGL,570.900032,571.01003,569.000018,574.879996,3799100
29924,2010-04-06,GOOGL,569.460007,568.220037,565.399984,570.890033,4116000
30392,2010-04-07,GOOGL,567.299998,563.540029,561.860009,568.750024,5156800
30860,2010-04-08,GOOGL,563.320034,567.489994,560.049992,569.849997,3891100
31328,2010-04-09,GOOGL,567.489994,566.220025,564.000018,568.770023,4109000
31796,2010-04-12,GOOGL,567.349997,572.729988,566.220025,574.000018,4700000
32264,2010-04-13,GOOGL,572.529993,586.770011,571.130027,588.880021,7816700
32732,2010-04-14,GOOGL,590.059992,589.000018,584.010017,592.339997,6798500
33200,2010-04-15,GOOGL,592.170001,595.299986,588.290035,597.839985,13510000
33668,2010-04-16,GOOGL,562.999981,550.14999,549.630003,568.810022,24446500
34136,2010-04-19,GOOGL,548.750024,550.099991,544.999994,553.990018,7780200
34604,2010-04-20,GOOGL,554.170014,555.039993,551.060029,559.660002,5948800
35072,2010-04-21,GOOGL,556.460019,554.300011,552.160002,560.249987,4778200
35540,2010-04-22,GOOGL,552.000006,547.060004,543.350034,552.499994,6554800
36008,2010-04-23,GOOGL,547.25,544.989994,542.269999,549.32001,4174600
36476,2010-04-26,GOOGL,544.969994,531.640015,529.210013,544.989994,8728800
36944,2010-04-27,GOOGL,528.95002,529.060017,527.230001,538.330035,7681700
37412,2010-04-28,GOOGL,532.100004,529.190014,521.03003,534.829998,6805300
37881,2010-04-29,GOOGL,533.370034,532.000006,526.670014,536.500018,6111600
38350,2010-04-30,GOOGL,531.130027,525.699977,525.439983,537.679989,4865900
38819,2010-05-03,GOOGL,526.500018,530.599979,525.079992,532.919984,3711800
39288,2010-05-04,GOOGL,526.520018,506.370022,504.210013,526.740012,12140400
39757,2010-05-05,GOOGL,500.980001,509.76,500.470013,515.719976,9155200
40226,2010-05-06,GOOGL,508.749994,498.669996,459.999995,517.519994,9990100
40695,2010-05-07,GOOGL,499.969995,493.140009,481.329993,505.320017,10167800
41164,2010-05-10,GOOGL,513.970019,521.650015,512.599992,522.819986,8247700
41633,2010-05-11,GOOGL,515.669978,509.050017,508.220007,519.879997,6638500
42102,2010-05-12,GOOGL,512.040005,505.390015,502.000006,512.040005,7695800
42571,2010-05-13,GOOGL,516.500018,510.880003,510.370016,522.000006,6644900
43040,2010-05-14,GOOGL,509.77,507.529993,496.249994,510.99,8223700
43509,2010-05-17,GOOGL,506.780012,507.970013,498.350004,508.360004,5582000
43978,2010-05-18,GOOGL,509.999994,498.370004,497.070005,510.970001,5645300
