Date,Open,High,Low,Close,Volume,Market Cap
20-Jan-17,0.162671,0.166808,0.145625,0.145625,"5,978","812,236"
21-Jan-17,0.14571,0.236289,0.144554,0.174829,"12,872","727,753"
22-Jan-17,0.174903,0.178088,0.123697,0.128067,526,"874,666"
23-Jan-17,0.128182,0.156983,0.126968,0.154695,"6,921","641,762"
24-Jan-17,0.152959,0.671748,0.134264,0.142972,"33,237","766,670"
25-Jan-17,0.142849,0.313312,0.142811,0.154217,"14,945","716,763"
26-Jan-17,0.154363,0.179255,0.147483,0.161915,"9,966","775,361"
27-Jan-17,0.162051,0.242873,0.151854,0.16788,"24,828","814,864"
28-Jan-17,0.167891,0.191118,0.167889,0.185115,"12,342","845,152"
29-Jan-17,0.185211,0.191636,0.178,0.183409,"10,832","933,414"
30-Jan-17,0.18354,0.211474,0.183411,0.201773,"25,986","926,047"
31-Jan-17,0.2019,0.248894,0.192904,0.234476,"38,955","1,019,790"
1-Feb-17,0.234603,0.625286,0.23433,0.380666,"70,857","1,186,290"
2-Feb-17,0.376986,0.510052,0.374696,0.42451,"49,021","1,908,590"
3-Feb-17,0.424369,0.616739,0.423258,0.513246,"104,851","2,151,070"
4-Feb-17,0.513954,0.618865,0.511836,0.568446,"41,471","2,611,770"
5-Feb-17,0.568783,0.594951,0.465195,0.465195,"22,814","2,893,950"
6-Feb-17,0.465675,0.53186,0.445042,0.447002,"92,361","2,372,230"
7-Feb-17,0.447859,0.516073,0.422868,0.4254,"65,544","2,343,170"
8-Feb-17,0.425789,0.620504,0.425789,0.573734,"97,396","2,230,210"
9-Feb-17,0.574614,0.635086,0.529744,0.566729,"40,765","3,013,100"
10-Feb-17,0.567441,0.652978,0.546511,0.634202,"136,220","2,979,990"
11-Feb-17,0.634346,0.728807,0.62172,0.702202,"73,165","3,335,540"
12-Feb-17,0.701552,0.72462,0.693313,0.696708,"90,321","3,693,230"
13-Feb-17,0.696483,0.718306,0.615641,0.711195,"100,391","3,670,810"
14-Feb-17,0.711982,0.744774,0.665671,0.730306,"84,926","3,756,710"
15-Feb-17,0.731512,0.748031,0.721461,0.725943,"84,565","3,864,230"
