Date,Open,High,Low,Close,Volume,Market Cap
"Apr 01, 2014",0.641783,0.747204,0.638385,0.724105,36211,2488370
"Apr 01, 2015",4.02,4.02,3.7,3.83,242957,21088600
"Apr 01, 2016",6.9,7.1,6.71,7.07,189159,43693200
"Apr 01, 2017",74.3,74.3,66.85,68.6,17542100,534806000
"Apr 02, 2014",0.725259,0.740497,0.589991,0.615044,21722,2819600
"Apr 02, 2015",3.82,4.6,3.82,4.54,271324,20066500
"Apr 02, 2016",7.12,7.21,7.04,7.05,157191,45096900
"Apr 02, 2017",68.26,71.2,54.95,57.07,26723500,491501000
"Apr 03, 2014",0.614065,0.666765,0.573639,0.638183,18610,2393680
"Apr 03, 2015",4.52,4.56,4.28,4.36,138373,23736400
"Apr 03, 2016",7.05,7.13,6.65,7,351429,44718800
"Apr 03, 2017",56.73,65.87,47.1,61.76,42403200,408589000
"Apr 04, 2014",0.640371,0.662537,0.62528,0.648937,11863,2502840
"Apr 04, 2015",4.36,4.37,3.95,4.13,185199,22879800
"Apr 04, 2016",7,7.05,6.88,6.96,141900,44373200
"Apr 04, 2017",63.42,71.84,57.89,69.07,33869600,456882000
"Apr 05, 2014",0.640305,0.703904,0.620445,0.700444,28674,2509580
"Apr 05, 2015",4.12,4.21,3.95,4.17,136532,21661800
"Apr 05, 2016",6.97,7.37,6.97,7.07,420016,44231400
"Apr 05, 2017",69.12,77.6,66.35,74.37,31084000,498097000
"Apr 06, 2014",0.700828,0.723713,0.630182,0.641513,13167,2754220
"Apr 06, 2015",4.17,4.23,4.03,4.09,115405,21906600
"Apr 06, 2016",7.06,7.17,7,7.02,189714,44799200
"Apr 06, 2017",74.45,74.45,64.28,66.53,21464900,537046000
"Apr 07, 2014",0.6478,0.64933,0.590722,0.6041,45233,2552670
"Apr 07, 2015",4.09,4.12,3.72,3.78,205259,21522900
"Apr 07, 2016",7.02,7.1,6.9,6.9,174662,44628000
"Apr 07, 2017",66.47,69.96,64.11,66.19,13046400,479637000
"Apr 08, 2014",0.606079,0.628222,0.580698,0.603018,21411,2395150
"Apr 08, 2015",3.77,3.86,3.55,3.68,144498,19854100
"Apr 08, 2016",6.88,7.08,6.88,6.99,218748,43766400
"Apr 08, 2017",66.08,68.89,65.5,67.75,10316300,476916000
"Apr 09, 2014",0.603431,0.61673,0.583104,0.587437,9604,2390830
"Apr 09, 2015",3.68,3.87,3.38,3.42,172424,19400600
"Apr 09, 2016",6.98,6.99,6.28,6.68,490236,44418900
"Apr 09, 2017",67.8,68.29,64.55,64.7,8535590,489452000
"Apr 10, 2014",0.587616,0.591656,0.44896,0.457036,16417,2334430
