Date,Open,High,Low,Close,Volume,Market Cap
"Apr 01, 2014",12.77,13.67,12.76,13.13,7346120,345810000
"Apr 01, 2015",1.65,1.68,1.63,1.66,1245880,62351500
"Apr 01, 2016",3.25,3.26,3.23,3.24,1316230,146576000
"Apr 01, 2017",6.65,6.98,6.31,6.88,57711700,335526000
"Apr 02, 2014",13.09,13.37,10.94,11.29,14966900,354825000
"Apr 02, 2015",1.67,1.69,1.66,1.68,1254970,62994200
"Apr 02, 2016",3.25,3.28,3.24,3.26,1174830,146629000
"Apr 02, 2017",6.86,7.94,6.65,7.74,88560400,346209000
"Apr 03, 2014",11.26,11.26,10.29,11.05,10985500,305579000
"Apr 03, 2015",1.68,1.7,1.68,1.7,1053650,63414000
"Apr 03, 2016",3.26,3.27,3.25,3.26,1281200,147378000
"Apr 03, 2017",7.74,8.64,7.24,8.07,114179000,390802000
"Apr 04, 2014",11.07,11.39,10.72,11.02,5857970,300564000
"Apr 04, 2015",1.7,1.7,1.67,1.69,794158,64337500
"Apr 04, 2016",3.26,3.27,3.22,3.25,1188610,147422000
"Apr 04, 2017",8.12,8.96,7.53,8.29,129208000,409793000
"Apr 05, 2014",11,11.24,10.86,11.2,3023900,299206000
"Apr 05, 2015",1.68,1.71,1.68,1.7,1012920,63731100
"Apr 05, 2016",3.25,3.27,3.24,3.25,863788,146779000
"Apr 05, 2017",8.25,11.42,7.96,11.09,217834000,416432000
"Apr 06, 2014",11.18,11.9,11.09,11.64,5093420,304340000
"Apr 06, 2015",1.7,1.72,1.67,1.69,1077700,64505900
"Apr 06, 2016",3.26,3.26,3.24,3.26,1088910,147390000
"Apr 06, 2017",11.12,11.45,9.66,10.25,194300000,561808000
"Apr 07, 2014",11.66,11.93,11.26,11.26,3903230,317608000
"Apr 07, 2015",1.69,1.69,1.67,1.67,898271,63958900
"Apr 07, 2016",3.26,3.26,3.23,3.25,1150280,147371000
"Apr 07, 2017",10.22,10.56,9.19,9.37,94765600,516533000
"Apr 08, 2014",11.21,11.65,11.11,11.36,3435810,305773000
"Apr 08, 2015",1.67,1.68,1.62,1.63,1479550,63336300
"Apr 08, 2016",3.24,3.25,3.21,3.22,1352320,146734000
"Apr 08, 2017",9.34,10.35,9.33,9.92,58489100,471828000
"Apr 09, 2014",11.38,11.51,11.15,11.19,2084940,310700000
"Apr 09, 2015",1.62,1.63,1.55,1.59,1354130,61536800
"Apr 09, 2016",3.22,3.23,3.2,3.22,1224580,145963000
"Apr 09, 2017",9.89,10.01,8.43,8.71,90963300,499887000
"Apr 10, 2014",11.19,11.28,8.13,8.46,15032300,305788000
"Apr 10, 2015",1.59,1.59,1.52,1.53,1448110,60275800
"Apr 10, 2016",3.22,3.25,3.21,3.23,1417490,145907000
"Apr 10, 2017",8.72,9.2,8.19,8.92,74425700,440977000
"Apr 11, 2014",8.42,11.37,8.18,10.95,18745900,230520000
"Apr 11, 2015",1.52,1.54,1.44,1.46,1329260,57945500
"Apr 11, 2016",3.23,3.24,3.21,3.24,1061060,146206000
"Apr 11, 2017",8.91,9.28,8.66,8.85,50700000,450735000
"Apr 12, 2014",10.9,11.56,10.59,10.66,7740060,298698000
"Apr 12, 2015",1.46,1.49,1.45,1.46,724290,55550100
"Apr 12, 2016",3.24,3.28,3.23,3.26,1305310,146827000
"Apr 12, 2017",8.83,11.06,8.83,10.79,159255000,446780000
"Apr 13, 2014",10.66,10.96,9.68,10.31,6250360,292420000
"Apr 13, 2015",1.47,1.48,1.37,1.38,1316410,56089100
"Apr 13, 2016",3.26,3.27,3.24,3.24,1295720,147911000
"Apr 13, 2017",10.76,10.77,9.93,10.15,64187400,544751000
"Apr 14, 2014",10.39,11.69,10.01,11.52,11481300,285072000
"Apr 14, 2015",1.38,1.39,1.34,1.38,1669170,52470700
"Apr 14, 2016",3.25,3.26,3.23,3.24,1190770,147175000
"Apr 14, 2017",10.13,10.51,9.68,10.39,61137000,512838000
"Apr 15, 2014",11.46,13.44,11.31,13.25,15088900,314953000
"Apr 15, 2015",1.38,1.42,1.35,1.38,1230190,52512100
"Apr 15, 2016",3.24,3.28,3.24,3.28,1404400,147106000
"Apr 15, 2017",10.34,11,10.2,10.79,47922000,523678000
"Apr 16, 2014",13.3,14.22,12.69,13.37,17352400,365869000
"Apr 16, 2015",1.38,1.43,1.37,1.42,1098160,52832900
"Apr 16, 2016",3.28,3.29,3.27,3.27,1155850,148813000
"Apr 16, 2017",10.75,10.9,10.67,10.71,24321400,544263000
"Apr 17, 2014",13.42,13.74,12.22,12.52,10919300,369542000
"Apr 17, 2015",1.42,1.44,1.4,1.41,1127080,54339400
"Apr 17, 2016",3.28,3.28,3.25,3.26,1211900,148864000
"Apr 17, 2017",10.6,11.18,10.39,10.42,104055000,536824000
"Apr 18, 2014",12.46,12.64,11.68,12.06,8631860,343401000
"Apr 18, 2015",1.41,1.42,1.39,1.41,733823,53929900
"Apr 18, 2016",3.26,3.27,3.24,3.24,1317730,148017000
"Apr 18, 2017",10.42,10.94,9.97,10.32,83183300,528060000
"Apr 19, 2014",12.05,12.89,11.64,12.82,6728010,332274000
"Apr 19, 2015",1.41,1.43,1.38,1.39,984396,53970000
"Apr 19, 2016",3.25,3.29,3.24,3.29,1333410,147546000
"Apr 19, 2017",10.31,10.35,9.59,9.66,55784900,522923000
"Apr 20, 2014",12.86,13.12,12.43,12.62,6195390,354908000
"Apr 20, 2015",1.38,1.42,1.38,1.41,959972,53029400
"Apr 20, 2016",3.29,3.29,3.27,3.28,1638920,149541000
"Apr 20, 2017",9.63,10.66,9.59,10.33,55828300,488681000
"Apr 21, 2014",12.56,12.93,12.35,12.5,3872040,347125000
"Apr 21, 2015",1.41,1.43,1.4,1.42,1055230,53985400
"Apr 21, 2016",3.28,3.35,3.27,3.35,1688230,149099000
"Apr 21, 2017",10.29,11.54,10.16,11.23,99012200,522165000
"Apr 22, 2014",12.5,12.61,12.05,12.07,2969980,345711000
"Apr 22, 2015",1.43,1.47,1.42,1.45,1130670,54951900
