Date,Open,High,Low,Close,Volume,Market Cap
1-Apr-15,0.0004,0.000458,0.00017,0.000242,"65,525","3,604,110"
2-Apr-15,0.000242,0.000323,0.000227,0.000314,"28,549","2,179,320"
3-Apr-15,0.000309,0.00033,0.000291,0.00031,"20,678","2,778,750"
4-Apr-15,0.00031,0.000318,0.000251,0.000277,"23,550","2,792,120"
5-Apr-15,0.000272,0.000283,0.000218,0.000232,"26,800","2,443,720"
6-Apr-15,0.000232,0.000299,0.000229,0.000289,"22,512","2,088,380"
7-Apr-15,0.000288,0.000288,0.000234,0.000241,"14,437","2,596,140"
8-Apr-15,0.000245,0.000259,0.000223,0.000228,"6,933","2,209,250"
9-Apr-15,0.000228,0.000239,0.000213,0.000224,"10,014","2,048,560"
10-Apr-15,0.000224,0.000227,0.000167,0.000175,"16,846","2,017,780"
11-Apr-15,0.000175,0.000192,0.000143,0.000163,"22,846","1,571,870"
12-Apr-15,0.000163,0.000173,0.000144,0.000146,"5,569","1,469,950"
13-Apr-15,0.000146,0.000155,0.000123,0.000139,"11,803","1,316,600"
14-Apr-15,0.000139,0.000178,0.000137,0.000153,"14,654","1,254,160"
15-Apr-15,0.000156,0.000172,0.000146,0.000155,"8,196","1,399,610"
16-Apr-15,0.000155,0.000174,0.000155,0.000163,"5,317","1,391,420"
17-Apr-15,0.000168,0.000172,0.00016,0.000167,"4,556","1,507,870"
18-Apr-15,0.000167,0.00017,0.000141,0.000141,"9,117","1,503,010"
19-Apr-15,0.000141,0.00016,0.000137,0.000147,"7,193","1,269,820"
20-Apr-15,0.000147,0.00015,0.000128,0.000133,"6,681","1,324,160"
21-Apr-15,0.000133,0.000148,0.000129,0.000137,"3,912","1,194,180"
22-Apr-15,0.000137,0.000149,0.000129,0.000138,"2,353","1,233,120"
23-Apr-15,0.000138,0.000147,0.000133,0.000137,"2,117","1,244,580"
24-Apr-15,0.000137,0.00015,0.000132,0.00015,"3,058","1,234,000"
25-Apr-15,0.000149,0.00015,0.000137,0.00014,"2,480","1,345,350"
