Date,Open,High,Low,Close,Volume,Market Cap
23-Jun-17,35.05,48.58,17.67,45.63,"4,354,180",-
24-Jun-17,44.48,116.4,42.04,101.83,"17,322,100","54,422,400"
25-Jun-17,103.21,168.49,72.49,86.55,"34,331,400","126,269,000"
26-Jun-17,88.17,98.78,49.7,59.9,"9,639,820","107,875,000"
27-Jun-17,59.82,62.31,36.29,53.05,"6,824,330","73,191,200"
28-Jun-17,51.92,58.38,46.21,53.07,"4,397,750","63,517,500"
29-Jun-17,53.26,53.26,38.82,42.89,"3,130,230","65,159,400"
30-Jun-17,42.26,43.96,29.13,34.2,"4,824,820","51,703,800"
1-Jul-17,34.19,68.93,33.29,45.26,"12,854,500","41,835,200"
2-Jul-17,43.12,54.01,39.95,42.87,"3,610,660","52,749,500"
3-Jul-17,43.17,46.92,41.41,41.69,"1,348,590","52,810,600"
4-Jul-17,41.6,43.46,37.38,39.42,"1,917,540","50,895,200"
5-Jul-17,39.39,41.59,37.64,39.03,"829,545","48,195,200"
6-Jul-17,38.6,39.21,32.2,35.79,"1,538,390","47,227,600"
7-Jul-17,36.08,36.88,25.44,29.39,"1,277,090","44,138,900"
8-Jul-17,28.99,30.77,23.66,27.51,"860,141","35,465,600"
9-Jul-17,27.54,30.14,26.83,28.29,"576,144","33,695,700"
10-Jul-17,28.65,31.54,20.99,24.04,"678,731","35,055,400"
11-Jul-17,23.53,26.49,18.33,20.73,"613,446","28,787,300"
12-Jul-17,20.32,32.9,18.75,30.71,"1,538,890","24,856,500"
13-Jul-17,30.83,31.24,25.64,26.82,"453,602","37,715,200"
14-Jul-17,26.8,27.67,21.18,23.24,"424,550","32,787,700"
15-Jul-17,23.2,23.24,18.69,19.05,"269,653","28,383,800"
16-Jul-17,18.99,20.06,16.54,17.49,"213,544","23,236,900"
17-Jul-17,17.46,22.79,17.46,22.69,"272,026","21,363,400"
18-Jul-17,23.11,29.48,20.47,25.31,"550,981","28,272,600"
19-Jul-17,25.08,35.93,23.53,28.23,"1,959,790","30,689,100"
20-Jul-17,27.93,39.44,26.73,35.54,"1,116,080","34,174,900"
21-Jul-17,35.87,38.4,33.27,34.14,"320,166","43,866,500"
22-Jul-17,34.14,41.15,33.96,36.59,"909,922","41,751,100"
23-Jul-17,36.59,37.54,32.41,32.89,"515,553","44,748,100"
24-Jul-17,33.01,36.16,32.04,33.69,"551,830","40,370,800"
25-Jul-17,33.69,33.89,25.92,27.29,"460,800","41,210,000"
26-Jul-17,27.65,28.93,24.75,26.97,"323,792","33,814,100"
27-Jul-17,27.48,28.43,26.25,27.64,"163,616","33,610,800"
28-Jul-17,27.72,28.26,24.15,25.37,"214,957","33,899,000"
29-Jul-17,25.28,26.29,24.13,25.87,"120,964","30,920,300"
30-Jul-17,25.88,27.32,24.76,26.51,"116,912","31,649,900"
31-Jul-17,26.01,26.47,24.69,25.28,"166,615","31,810,000"
1-Aug-17,25.65,30.04,24.18,26.17,"305,623","31,374,200"
2-Aug-17,26.15,29.96,24.75,26.23,"551,211","31,986,000"
