CC,Close,Date,High,Iteration,Iterations,Low,MA,Market Cap,Open,SMA,Volume
Bitcoin,134.21,28-Apr-13,135.98,0-1000,,132.1,,"1,500,520,000",135.3,,-
Bitcoin,144.54,29-Apr-13,147.49,0-1000,,134.0,,"1,491,160,000",134.44,,-
Bitcoin,139.0,30-Apr-13,146.93,0-1000,,134.05,,"1,597,780,000",144.0,,-
Bitcoin,116.99,1-May-13,139.89,0-1000,,107.72,,"1,542,820,000",139.0,,-
Bitcoin,105.21,2-May-13,125.6,0-1000,,92.28,,"1,292,190,000",116.38,,-
Bitcoin,97.75,3-May-13,108.13,0-1000,,79.1,,"1,180,070,000",106.25,,-
Bitcoin,112.5,4-May-13,115.0,0-1000,,92.5,,"1,089,890,000",98.1,,-
Bitcoin,115.91,5-May-13,118.8,0-1000,,107.14,,"1,254,760,000",112.9,,-
Bitcoin,112.3,6-May-13,124.66,0-1000,,106.64,,"1,289,470,000",115.98,,-
Bitcoin,111.5,7-May-13,113.44,0-1000,,97.7,118.99100000000001,"1,248,470,000",112.25,,-
Bitcoin,113.57,8-May-13,115.78,0-1000,,109.6,116.92699999999999,"1,219,450,000",109.6,,-
Bitcoin,112.67,9-May-13,113.46,0-1000,,109.26,113.74000000000001,"1,259,980,000",113.2,,-
Bitcoin,117.2,10-May-13,122.0,0-1000,,111.55,111.56000000000002,"1,255,970,000",112.8,,-
Bitcoin,115.24,11-May-13,118.68,0-1000,,113.01,111.38500000000002,"1,311,050,000",117.7,,-
Bitcoin,115.0,12-May-13,117.45,0-1000,,113.44,112.364,"1,288,630,000",115.64,,-
Bitcoin,117.98,13-May-13,118.7,0-1000,,114.5,114.38700000000001,"1,279,980,000",114.82,,-
Bitcoin,111.5,14-May-13,119.8,0-1000,,110.25,114.287,"1,315,720,000",117.98,,-
Bitcoin,114.22,15-May-13,115.81,0-1000,,103.5,114.11800000000001,"1,242,760,000",111.4,,-
Bitcoin,118.76,16-May-13,118.76,0-1000,,112.2,114.76400000000001,"1,274,620,000",114.22,,-
Bitcoin,123.02,17-May-13,125.3,0-1000,,116.57,115.91600000000001,"1,319,590,000",118.21,,-
Bitcoin,123.5,18-May-13,125.25,0-1000,,122.3,116.90900000000002,"1,379,140,000",123.5,,-
Bitcoin,121.99,19-May-13,124.5,0-1000,,119.57,117.84100000000001,"1,376,370,000",123.21,,-
Bitcoin,122.0,20-May-13,123.62,0-1000,,120.12,118.321,"1,368,910,000",122.5,,-
Bitcoin,122.88,21-May-13,123.0,0-1000,,121.21,119.08500000000001,"1,363,940,000",122.02,,-
Bitcoin,123.89,22-May-13,124.0,0-1000,,122.0,119.97400000000002,"1,374,130,000",122.89,,-
Bitcoin,126.7,23-May-13,126.93,0-1000,,123.1,120.84600000000003,"1,384,780,000",123.8,,-
Bitcoin,133.2,24-May-13,133.85,0-1000,,125.72,123.01600000000003,"1,413,300,000",126.3,,-
Bitcoin,131.98,25-May-13,133.22,0-1000,,128.9,124.79200000000003,"1,489,950,000",133.1,,-
Bitcoin,133.48,26-May-13,136.0,0-1000,,130.62,126.26400000000004,"1,478,030,000",131.99,,-
Bitcoin,129.75,27-May-13,135.47,0-1000,,124.7,126.93700000000004,"1,495,520,000",133.5,,-
Bitcoin,129.0,28-May-13,130.58,0-1000,,125.6,127.48700000000004,"1,454,310,000",129.77,,-
Bitcoin,132.3,29-May-13,132.59,0-1000,,127.66,128.51800000000003,"1,446,190,000",129.0,,-
Bitcoin,128.8,30-May-13,132.25,0-1000,,127.0,129.19800000000004,"1,483,180,000",132.25,,-
Bitcoin,129.0,31-May-13,129.9,0-1000,,126.4,129.81000000000003,"1,445,050,000",128.8,,-
Bitcoin,129.3,1-Jun-13,129.78,0-1000,,127.2,130.35100000000003,"1,445,800,000",128.81,,-
Bitcoin,122.29,2-Jun-13,129.4,0-1000,,115.05,129.91000000000003,"1,451,930,000",129.3,,-
Bitcoin,122.22,3-Jun-13,122.5,0-1000,,116.0,128.812,"1,376,180,000",122.5,,-
Bitcoin,121.42,4-Jun-13,123.84,0-1000,,119.1,127.75600000000001,"1,357,020,000",120.74,,-
